date,site_bed,fisher_name,tow,lat_start,long_start,lat_end,long_end,depth_ft,direction,speed_kts,towing_time_min,lobster,depth_m,number_scallop
2018-05-03,cape tormentine,Todd O'Hanley,56,46.16751667,-63.6769,46.17,-63.67993333,73.4,321,1.9,5,1,22.4,146
2018-05-03,cape tormentine,Todd O'Hanley,57,46.16808333,-63.68041667,46.17101667,-63.68216667,81.2,346,2.1,5,1,24.7,155
2018-05-03,cape tormentine,Todd O'Hanley,58,46.17748333,-63.68881667,46.17973333,-63.69155,84.3,314,2.1,5,3,25.7,201
2018-05-03,cape tormentine,Todd O'Hanley,59,46.18258333,-63.69286667,46.179,-63.69096667,89.2,165,2.7,5,2,27.2,279
2018-05-03,cape tormentine,Todd O'Hanley,60,46.18466667,-63.68765,46.18166667,-63.68466667,75.8,149,2.8,5,2,23.1,338
2018-05-02,West Point ,Ricky Gallant,1,46.63783333,-64.48618333,46.63283333,-64.48123333,91,176,2.7,5,0,27.7,55
2018-05-02,West Point ,Ricky Gallant,2,46.6295,-64.45993333,46.61666667,-64.45578333,94.6,151,2.7,5,0,28.8,82
2018-05-02,West Point ,Ricky Gallant,3,46.62406667,-64.47003333,46.62146667,-64.46636667,109,158,2.6,5,0,33.2,49
2018-05-02,West Point ,Ricky Gallant,4,46.6171,-64.46301667,46.61463333,-64.45946667,87,149,2.7,5,0,26.5,128
2018-05-02,West Point ,Ricky Gallant,5,46.60985,-64.45405,46.60796667,-64.45028333,86,148,2.8,5,1,26.2,84
2018-05-02,West Point ,Ricky Gallant,6,46.6034,-64.44541667,46.60038333,-64.44165,85.4,164,2.8,5,0,26.0,103
2018-05-02,West Point ,Ricky Gallant,7,46.59476667,-64.43333333,46.5925,-64.42845,85.4,150,2.8,6,1,26.0,101
2018-05-02,West Point ,Ricky Gallant,8,46.58688333,-64.4209,46.58411667,-64.41656667,81,158,2.5,5,2,24.7,69
2018-05-02,West Point ,Ricky Gallant,9,46.57698333,-64.41071667,46.57275,-64.40575,91.3,165,2.7,5,7,27.8,36
2018-05-02,West Point ,Ricky Gallant,10,46.56553333,-64.40015,46.56118333,-64.39668333,82,178,3,6,1,25.0,36
2018-05-02,West Point ,Ricky Gallant,11,46.56016667,-64.39705,46.54543333,-64.40245,79.6,310,2.3,5,7,24.3,46
2018-05-02,West Point ,Ricky Gallant,12,46.56383333,-64.40376667,46.56728333,-64.40731667,85,343,2.5,5,1,25.9,45
2018-05-02,West Point ,Ricky Gallant,13,46.57526667,-64.40955,46.57826667,-64.4124,90,348,2.4,5,12,27.4,24
2018-05-02,West Point ,Ricky Gallant,14,46.58513333,-64.41953333,46.5893,-64.4241,81,336.2,2.5,5,1,24.7,74
2018-05-02,West Point ,Ricky Gallant,15,46.59246667,-64.42456667,46.595,-64.42735,79.1,322,2.5,5,0,24.1,66
2018-05-02,West Point ,Ricky Gallant,16,46.5981,-64.42945,46.60178333,-64.43525,78.5,339.1,2.3,6,3,23.9,60
2018-05-02,West Point ,Ricky Gallant,17,46.60378333,-64.43795,46.60665,-64.44101667,80.3,346,2.6,5,2,24.5,79
2018-05-02,West Point ,Ricky Gallant,18,46.60993333,-64.44458333,46.61253333,-64.44938333,79.7,331.4,2.4,5,0,24.3,119
2018-05-02,West Point ,Ricky Gallant,19,46.61575,-64.45415,46.61863333,-64.45758333,82.7,338.1,2.5,5,1,25.2,94
2018-05-02,West Point ,Ricky Gallant,20,46.62268333,-64.46,46.6258,-64.46251667,81.7,353,2.8,5,0,24.9,74
2018-05-02,West Point ,Ricky Gallant,21,46.6295,-64.4674,46.63246667,-64.47091667,88,341.4,2.6,5,0,26.8,70
2018-05-02,West Point ,Ricky Gallant,22,46.63791667,-64.47463333,,,91.9,356,2.4,,0,28.0,48
2018-05-03,West Point ,Ricky Gallant,23,46.63178333,-64.46681667,46.6277,-64.4638,85.6,160,2.8,5,0,26.1,54
2018-05-03,West Point ,Ricky Gallant,24,46.62601667,-64.4627,46.62358333,-64.46015,85.5,169.2,2.4,5,3,26.1,65
2018-05-03,West Point ,Ricky Gallant,25,46.6192,-64.45696667,46.6164,-64.45366667,84.7,158,2.5,5,0,25.8,98
2018-05-03,West Point ,Ricky Gallant,26,46.6116,-64.4507,46.60861667,-64.44606667,83.8,155.2,2.8,5,0,25.5,89
2018-05-03,West Point ,Ricky Gallant,27,46.60453333,-64.44313333,46.60136667,-64.44001667,83,174.2,2.7,5,1,25.3,64
2018-05-03,West Point ,Ricky Gallant,28,46.5967,-64.43673333,46.59333333,-64.4343,86.5,171.2,2.7,5,1,26.4,122
2018-05-03,West Point ,Ricky Gallant,29,46.5868,-64.431,46.58403333,-64.427,93.5,156.9,2.7,5,0,28.5,81
2018-05-03,West Point ,Ricky Gallant,30,46.57946667,-64.42388333,46.57643333,-64.42025,91.5,169.2,2.4,5,1,27.9,39
2018-05-03,West Point ,Ricky Gallant,31,46.57178333,-64.41615,46.56916667,-64.41211667,93.3,148.2,2.7,5,4,28.4,30
2018-05-03,West Point ,Ricky Gallant,32,46.56475,-64.40833333,46.5605,-64.40583333,85.4,174.3,2.8,5,3,26.0,63
2018-05-03,West Point ,Ricky Gallant,33,46.55798333,-64.40636667,46.56058333,-64.40933333,80.9,340,2.3,5,5,24.7,26
2018-05-03,West Point ,Ricky Gallant,34,46.56411667,-64.41178333,,,84.8,349.7,2.4,5,0,25.8,29
2018-05-03,West Point ,Ricky Gallant,35,46.5991,-64.43663333,46.61185,-64.44045,81.9,347,2.5,5,2,25.0,62
2018-05-03,West Point ,Ricky Gallant,36,46.60908333,-64.44456667,46.61186667,-64.44786667,81.2,338.7,2.5,5,0,24.7,98
2018-05-03,West Point ,Ricky Gallant,37,46.62016667,-64.45478333,46.62331667,-64.45895,79.4,318.6,2.4,5,0,24.2,56
2018-05-04,West Point ,Ricky Gallant,38,46.64296667,-64.4884,46.63905,-64.48451667,106,145,2.4,5,1,32.3,26
2018-05-04,West Point ,Ricky Gallant,39,46.6363,-64.48223333,46.63245,-64.47868333,92.3,158,2.4,5,0,28.1,71
2018-05-04,West Point ,Ricky Gallant,40,46.63106667,-64.47825,46.62885,-64.47475,91.1,174,2.6,5,1,27.8,61
2018-05-04,West Point ,Ricky Gallant,41,46.62748333,-64.47226667,46.62488333,-64.46946667,102,159.1,2.7,5,0,31.1,78
2018-05-04,West Point ,Ricky Gallant,42,46.6231,-64.46913333,46.62086667,-64.46593333,110,173.4,2.6,5,0,33.5,52
2018-05-04,West Point ,Ricky Gallant,43,46.61806667,-64.46323333,46.61538333,-64.4588,88.3,157.2,2.4,5,1,26.9,185
2018-05-04,West Point ,Ricky Gallant,44,46.61228333,-64.4563,46.61311667,-64.45126667,85.5,166,2.6,5,0,26.1,147
